inter_arrival_time,processing_time
0.031244,0.5427
0.062016,0.268
0.187011,1.2837
0.015715,0.0746
0.015156,0.205
0.061881,0.528
0.187133,0.0563
0.016028,0.5742
0.062418,0.2881
0.031039,0.0128
0.031456,0.0296
0.093648,0.0708
0.016008,0.0457
0.061162,0.1682
0.01542,0.2939
0.0,0.8587
0.123612,0.7458
0.078017,0.029
0.01567,0.0939
0.0,0.4504
0.108548,0.1339
0.062508,1.38
0.123917,0.4847
0.0,1.678
0.201281,0.1134
0.046275,0.4468
0.201204,0.8533
0.0923,0.1661
0.0,0.5006
0.061818,0.7833
0.031037,0.8242
0.108259,0.3552
0.015166,0.3662
0.108156,0.6581
0.015307,0.6787
0.031003,0.2092
0.046613,0.4305
0.015527,0.5199
0.076538,0.2607
0.015181,0.165
0.092627,0.3465
0.01517,0.192
0.031058,0.2195
0.077365,0.7026
0.0,0.0158
0.015501,0.1532
0.169743,0.0957
0.015382,0.7375
0.015674,0.0214
0.061316,0.5794
0.093599,0.4231
0.077451,0.3091
0.06267,0.5014
0.0,0.2493
0.031593,0.5794
0.015942,0.8186
0.015152,1.5839
0.01554,0.2016
0.06263,0.2707
0.04668,1.4509
0.0,0.0595
0.171719,0.0038
0.046751,0.867
0.031122,0.2876
0.016036,0.2599
0.093989,0.3122
0.031086,0.2849
0.031402,0.4622
0.124485,1.1253
0.07738,0.4982
0.031022,0.1275
0.264503,2.0491
0.140734,0.4278
0.031036,0.7215
0.094251,1.5748
0.031554,0.6256
0.031673,2.0979
0.015527,1.4873
0.030983,1.0007
0.077977,0.1466
0.031461,0.091
0.016025,0.0096
0.140495,0.5816
0.046713,0.172
0.030514,0.292
0.04627,1.4306
0.0,0.9545
0.030428,0.1382
0.323936,1.1001
0.030537,0.2351
0.03091,0.6035
0.201066,1.3404
0.046218,0.0555
0.107849,0.6198
0.015357,0.4792
0.061775,1.0336
0.031437,0.6311
0.015393,0.0621
0.046343,0.4003
0.031252,0.4871
0.015498,0.3458
0.030858,0.095
0.046678,0.4425
0.155051,0.0075
0.015347,0.669
0.015628,0.6309
0.046345,0.0966
0.093403,0.0864
0.046296,0.1558
0.015185,0.7881
0.015534,0.0028
0.0,0.8987
0.076679,0.5808
0.030633,0.31
0.015442,0.2985
0.015605,0.1818
0.076901,0.6456
0.108272,0.0341
0.153525,0.6461
0.03059,0.0132
0.077493,0.3332
0.030958,0.4769
0.031058,0.005
0.0,0.176
0.030537,0.3646
0.015507,0.7999
0.154415,0.7582
0.015541,0.1484
0.201371,0.129
0.139751,0.2455
0.280893,0.0124
0.015349,0.0954
0.015634,0.0325
0.0,0.4439
0.046476,0.2852
0.092157,0.5348
0.155454,3.1847
0.015448,0.0726
0.030769,0.3031
0.09331,0.2723
0.015765,0.98
0.077484,0.5856
0.015534,0.514
0.092817,0.4709
0.0,1.0412
0.015472,0.4785
0.031314,0.0865
0.031638,0.1204
0.015534,0.1308
0.109139,0.4436
0.031197,0.137
0.031155,0.083
0.046353,0.0107
0.108442,0.2923
0.077908,0.9207
0.030976,0.9553
0.108222,0.1807
0.076997,0.5434
0.107939,0.0346
0.030832,0.0011
0.06157,0.6467
0.030692,0.8182
0.046419,0.2424
0.015561,0.4299
0.108657,2.0452
0.0157,0.106
0.031102,0.4153
0.015289,0.0113
0.061894,0.0107
0.015539,0.3891
0.046072,0.0166
0.015559,0.5152
0.062503,0.019
0.139745,0.4925
0.156418,0.1308
0.124565,1.0733
0.030993,0.1119
0.046469,0.1284
0.030589,0.2768
0.061337,0.0055
0.076756,0.5443
0.030998,0.8055
0.076837,0.0487
0.169362,0.1924
0.108841,0.4681
0.078493,0.6083
0.047086,1.5253
0.062631,0.2613
0.031067,0.2855
0.092668,0.7165
0.0,0.2056
0.078315,0.6777
0.185951,0.7931
0.030795,1.7849
0.0,0.3363
0.047131,0.1939
0.031061,0.2111
0.015533,0.2016
0.03108,0.685
0.031209,0.1259
0.124074,0.0296
0.030579,0.9484
0.046531,0.6022
0.077233,0.9296
0.0,0.0332
0.06154,0.511
0.030665,0.8258
0.077367,0.5
0.030535,0.6173
0.015544,1.4188
0.030967,0.7679
0.015544,0.0158
0.0,0.0078
0.030472,1.1033
0.202541,0.1615
0.015188,0.6297
0.108652,0.0381
0.030972,0.7609
0.030986,0.3247
0.015648,0.2076
0.093174,0.0299
0.23084,0.7511
0.0,0.8837
0.108263,0.0812
0.030672,1.6697
0.077173,0.3694
0.0,0.1061
0.091648,0.0329
0.092866,0.4603
0.015333,0.6993
0.0467,0.1977
0.030706,2.0349
0.031617,0.2837
0.140742,0.1451
0.249698,0.3204
0.015568,1.0552
0.03119,0.3111
0.031427,0.3698
0.061676,0.0309
0.0,0.1145
0.046729,0.1667
0.108588,0.3755
0.046478,0.3142
0.358259,0.2807
0.046865,0.2598
0.216745,0.622
0.0,1.2608
0.0,0.2452
0.015462,0.8352
0.046169,0.4384
0.0,0.0063
0.015287,0.3052
0.0,0.0672
0.015222,0.7897
0.031185,0.5514
0.093042,0.2185
0.030385,0.2055
0.061947,0.0805
0.245641,0.0629
0.108676,0.0348
0.092174,0.739
0.031003,0.3059
0.108947,0.0666
0.01541,0.6901
0.0,0.0064
0.077568,0.635
0.016005,0.2374
0.030718,1.4778
0.01523,1.0092
0.0,0.0269
0.046583,0.4973
0.076998,0.1469
0.076992,0.2703
0.077284,0.6474
0.015323,0.4606
0.06239,0.89
0.062081,0.0847
0.061332,0.809
0.01551,0.2151
0.015391,0.4291
0.015525,0.7811
0.263906,0.2296
0.0,0.2711
0.046768,0.0715
0.015352,0.6614
0.061903,0.2067
0.10872,0.1259
0.031691,0.4414
0.077612,1.1225
0.0,1.1707
0.031375,0.1446
0.13854,0.1269
0.045981,1.2231
0.046343,0.0959
0.046137,0.2324
0.015361,0.8585
0.154378,0.6151
0.09254,0.0873
0.077115,0.6059
0.125029,0.4076
0.248876,0.5106
0.0,0.2902
0.062273,0.9128
0.031283,0.771
0.061813,0.4067
0.030598,1.5309
0.092409,0.1072
0.031391,0.0382
0.01559,0.3833
0.03073,0.0521
0.0,0.3342
0.06141,0.0842
0.015526,1.0951
0.046165,1.269
0.0,0.2156
0.07707,0.1166
0.031074,0.0313
0.0,0.4648
0.031054,0.2169
0.109008,0.0305
0.09391,0.1843
0.108703,0.8547
0.015431,0.1458
0.0,0.0964
0.015561,1.1194
0.140618,0.2077
0.046987,0.6068
0.265284,0.0575
0.031605,0.2388
0.031006,0.2357
0.062807,0.1532
0.031559,0.2593
0.062636,0.7786
0.078156,0.7089
0.092521,0.3191
0.077053,0.0797
0.061758,0.5503
0.046002,0.1019
0.046339,1.0537
0.03116,0.0428
0.0,0.1085
0.1859,0.1979
0.061805,0.256
0.046482,0.8498
0.077264,0.3285
0.140065,0.2143
0.016037,0.0355
0.0,0.4519
0.139816,0.0774
0.046811,1.1731
0.030571,1.0959
0.078268,0.451
0.062496,0.3365
0.093672,0.1352
0.015939,0.1741
0.06242,1.1787
0.015297,0.3552
0.093733,0.7241
0.01541,1.0285
0.076787,0.0294
0.061871,0.0172
0.248076,0.7092
0.046524,0.3049
0.0,0.1835
0.046534,0.6367
0.093627,0.6383
0.047055,0.0838
0.046549,0.5044
0.031555,0.6289
0.031523,0.7645
0.046516,0.1413
0.031012,0.2629
0.031052,0.5215
